# Cao Urban Trainer v1.0 Ped Model Catalog
# Format: Category|model_name
# You can add addon/custom ped models here, one per line.
# The script validates each model in-game before spawning.
Scenario Male|s_m_y_robber_01
Scenario Male|s_m_y_sheriff_01
Scenario Male|s_m_y_shop_mask
Scenario Male|s_m_y_strvend_01
Scenario Male|s_m_y_swat_01
Scenario Male|s_m_y_uscg_01
Scenario Male|s_m_y_valet_01
Scenario Male|s_m_y_waiter_01
Scenario Male|s_m_y_waretech_01
Scenario Male|s_m_y_westsec_01
Scenario Male|s_m_y_westsec_02
Scenario Male|s_m_y_winclean_01
Scenario Male|s_m_y_xmech_01
Scenario Male|s_m_y_xmech_02
Story|ig_abigail
Story|ig_agatha
Story|ig_agent
Story|ig_agent_02
Story|ig_amandatownley
Story|ig_andreas
Story|ig_ashley
Story|ig_avon
Story|ig_ballasog
Story|ig_bankman
Story|ig_barry
Story|ig_benny
Story|ig_bestmen
Story|ig_beverly
Story|ig_brad
Story|ig_bride
Story|ig_car3guy1
Story|ig_car3guy2
Story|ig_casey
Story|ig_chef
Story|ig_chef2
Story|ig_chengsr
Story|ig_chrisformage
Story|ig_clay
Story|ig_claypain
Story|ig_cletus
Story|ig_dale
Story|ig_davenorton
Story|ig_denise
Story|ig_devin
Story|ig_dom
Story|ig_dreyfuss
Story|ig_drfriedlander
Story|ig_englishdave
Story|ig_fabien
Story|ig_fbisuit_01
Story|ig_floyd
Story|ig_g
Story|ig_georginacheng
Story|ig_groom
Story|ig_hao
Story|ig_hunter
Story|ig_janet
Story|ig_jay_norris
Story|ig_jewelass
Story|ig_jimmyboston
Story|ig_jimmyboston_02
Story|ig_jimmydisanto
Story|ig_joeminuteman
Story|ig_johnnyklebitz
Story|ig_josef
Story|ig_josh
Story|ig_karen_daniels
Story|ig_kerrymcintosh
Story|ig_lacey_jones_02
Story|ig_lamardavis
Story|ig_lamardavis_02
Story|ig_lazlow
Story|ig_lestercrest
Story|ig_lestercrest_2
Story|ig_lestercrest_3
Story|ig_lifeinvad_01
Story|ig_lifeinvad_02
Story|ig_magenta
Story|ig_malc
Story|ig_manuel
Story|ig_marnie
Story|ig_maryann
Story|ig_maude
Story|ig_michelle
Story|ig_milton
Story|ig_molly
Story|ig_money
Story|ig_mp_agent14
Story|ig_mrk
Story|ig_mrs_thornhill
Story|ig_mrsphillips
Story|ig_natalia
Story|ig_nervousron
Story|ig_nigel
Story|ig_old_man1a
Story|ig_old_man2
Story|ig_omega
Story|ig_oneil
Story|ig_orleans
Story|ig_ortega
Story|ig_paige
Story|ig_paper
Story|ig_patricia
Story|ig_popov
Story|ig_priest
Story|ig_prolsec_02
Story|ig_ramp_gang
Story|ig_ramp_hic
Story|ig_ramp_hipster
Story|ig_ramp_mex
Story|ig_roccopelosi
Story|ig_russiandrunk
Story|ig_sacha
Story|ig_screen_writer
Story|ig_siemonyetarian
Story|ig_solomon
Story|ig_stevehains
Story|ig_stretch
Story|ig_talcc
Story|ig_talina
Story|ig_tanisha
Story|ig_taocheng
Story|ig_taocheng2
Story|ig_taostranslator
Story|ig_taostranslator2
Story|ig_tenniscoach
Story|ig_terry
Story|ig_tomepsilon
Story|ig_tonya
Story|ig_tonyprince
Story|ig_tracydisanto
Story|ig_trafficwarden
Story|ig_tylerdix
Story|ig_tylerdix_02
Story|ig_vagspeak
Story|ig_wade
Story|ig_zimbor
Story|player_one
Story|player_two
Story|player_zero
Story Scenario Female|u_f_m_casinocash_01
Story Scenario Female|u_f_m_casinoshop_01
Story Scenario Female|u_f_m_corpse_01
Story Scenario Female|u_f_m_debbie_01
Story Scenario Female|u_f_m_drowned_01
Story Scenario Female|u_f_m_miranda
Story Scenario Female|u_f_m_promourn_01
Story Scenario Female|u_f_o_carol
Story Scenario Female|u_f_o_eileen
Story Scenario Female|u_f_o_moviestar
Story Scenario Female|u_f_o_prolhost_01
Story Scenario Female|u_f_y_beth
Story Scenario Female|u_f_y_bikerchic
Story Scenario Female|u_f_y_comjane
Story Scenario Female|u_f_y_corpse_01
Story Scenario Female|u_f_y_corpse_02
Story Scenario Female|u_f_y_danceburl_01
Story Scenario Female|u_f_y_dancelthr_01
Story Scenario Female|u_f_y_dancerave_01
Story Scenario Female|u_f_y_hotposh_01
Story Scenario Female|u_f_y_jewelass_01
Story Scenario Female|u_f_y_mistress
Story Scenario Female|u_f_y_poppymich
Story Scenario Female|u_f_y_poppymich_02
Story Scenario Female|u_f_y_princess
Story Scenario Female|u_f_y_spyactress
Story Scenario Female|u_f_y_taylor
Story Scenario Male|u_m_m_aldinapoli
Story Scenario Male|u_m_m_bankman
Story Scenario Male|u_m_m_bikehire_01
Story Scenario Male|u_m_m_blane
Story Scenario Male|u_m_m_curtis
Story Scenario Male|u_m_m_doa_01
Story Scenario Male|u_m_m_edtoh
Story Scenario Male|u_m_m_fibarchitect
Story Scenario Male|u_m_m_filmdirector
Story Scenario Male|u_m_m_glenstank_01
Story Scenario Male|u_m_m_griff_01
Story Scenario Male|u_m_m_jesus_01
Story Scenario Male|u_m_m_jewelsec_01
Story Scenario Male|u_m_m_jewelthief
Story Scenario Male|u_m_m_markfost
Story Scenario Male|u_m_m_partytarget
Story Scenario Male|u_m_m_prolsec_01
Story Scenario Male|u_m_m_promourn_01
Story Scenario Male|u_m_m_rivalpap
Story Scenario Male|u_m_m_spyactor
Story Scenario Male|u_m_m_streetart_01
Story Scenario Male|u_m_m_vince
Story Scenario Male|u_m_m_willyfist
Story Scenario Male|u_m_o_dean
Story Scenario Male|u_m_o_filmnoir
Story Scenario Male|u_m_o_finguru_01
Story Scenario Male|u_m_o_taphillbilly
Story Scenario Male|u_m_o_tramp_01
Story Scenario Male|u_m_y_abner
Story Scenario Male|u_m_y_antonb
Story Scenario Male|u_m_y_babyd
Story Scenario Male|u_m_y_baygor
Story Scenario Male|u_m_y_burgerdrug_01
Story Scenario Male|u_m_y_caleb
Story Scenario Male|u_m_y_chip
Story Scenario Male|u_m_y_corpse_01
Story Scenario Male|u_m_y_croupthief_01
Story Scenario Male|u_m_y_cyclist_01
Story Scenario Male|u_m_y_danceburl_01
Story Scenario Male|u_m_y_dancelthr_01
Story Scenario Male|u_m_y_dancerave_01
Story Scenario Male|u_m_y_fibmugger_01
Story Scenario Male|u_m_y_gabriel
Story Scenario Male|u_m_y_guido_01
Story Scenario Male|u_m_y_gunvend_01
Story Scenario Male|u_m_y_hippie_01
Story Scenario Male|u_m_y_imporage
Story Scenario Male|u_m_y_juggernaut_01
Story Scenario Male|u_m_y_justin
Story Scenario Male|u_m_y_mani
Story Scenario Male|u_m_y_militarybum
Story Scenario Male|u_m_y_paparazzi
Story Scenario Male|u_m_y_party_01
Story Scenario Male|u_m_y_pogo_01
Story Scenario Male|u_m_y_prisoner_01
Story Scenario Male|u_m_y_proldriver_01
Story Scenario Male|u_m_y_rsranger_01
Story Scenario Male|u_m_y_sbike
Story Scenario Male|u_m_y_smugmech_01
Story Scenario Male|u_m_y_staggrm_01
Story Scenario Male|u_m_y_tattoo_01
Story Scenario Male|u_m_y_zombie_01
Cutscene|cs_amandatownley
Cutscene|cs_andreas
Cutscene|cs_ashley
Cutscene|cs_bankman
Cutscene|cs_barry
Cutscene|cs_beverly
Cutscene|cs_brad
Cutscene|cs_bradcadaver
Cutscene|cs_carbuyer
Cutscene|cs_casey
Cutscene|cs_chengsr
Cutscene|cs_chrisformage
Cutscene|cs_clay
Cutscene|cs_dale
Cutscene|cs_davenorton
Cutscene|cs_debra
Cutscene|cs_denise
Cutscene|cs_devin
Cutscene|cs_dom
Cutscene|cs_dreyfuss
Cutscene|cs_drfriedlander
Cutscene|cs_fabien
Cutscene|cs_fbisuit_01
Cutscene|cs_floyd
Cutscene|cs_guadalope
Cutscene|cs_gurk
Cutscene|cs_hunter
Cutscene|cs_janet
Cutscene|cs_jewelass
Cutscene|cs_jimmyboston
Cutscene|cs_jimmydisanto
Cutscene|cs_joeminuteman
Cutscene|cs_johnnyklebitz
Cutscene|cs_josef
Cutscene|cs_josh
Cutscene|cs_karen_daniels
Cutscene|cs_lamardavis
Cutscene|cs_lazlow
Cutscene|cs_lestercrest
Cutscene|cs_lifeinvad_01
Cutscene|cs_magenta
Cutscene|cs_manuel
Cutscene|cs_marnie
Cutscene|cs_martinmadrazo
Cutscene|cs_maryann
Cutscene|cs_maude
Cutscene|cs_michelle
Cutscene|cs_milton
Cutscene|cs_molly
Cutscene|cs_movpremf_01
Cutscene|cs_movpremmale
Cutscene|cs_mrk
Cutscene|cs_mrs_thornhill
Cutscene|cs_mrsphillips
Cutscene|cs_natalia
Cutscene|cs_nervousron
Cutscene|cs_nigel
Cutscene|cs_old_man1a
Cutscene|cs_old_man2
Cutscene|cs_omega
Cutscene|cs_orleans
Cutscene|cs_paper
Cutscene|cs_patricia
Cutscene|cs_priest
Cutscene|cs_prolsec_02
Cutscene|cs_russiandrunk
Cutscene|cs_screen_writer
Cutscene|cs_siemonyetarian
Cutscene|cs_solomon
Cutscene|cs_stevehains
Cutscene|cs_stretch
Cutscene|cs_tanisha
Cutscene|cs_taocheng
Cutscene|cs_taostranslator
Cutscene|cs_tenniscoach
Cutscene|cs_terry
Cutscene|cs_tom
Cutscene|cs_tomepsilon
Cutscene|cs_tonya
Cutscene|cs_tracydisanto
Cutscene|cs_wade
Cutscene|cs_zimbor
